iteration,timestamp,time_iso,sample_name,fault_class,agent,skill_id,skill_name,severity,rcf_score,detected,correct
1,1765832927.8925617,2025-12-15 21:08:47,SHIP500-B02-T01496,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.380366,False,1
1,1765832927.8925617,2025-12-15 21:08:47,SHIP500-B02-T01496,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.380366,False,1
1,1765832927.8925617,2025-12-15 21:08:47,SHIP500-B02-T01496,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.380366,False,1
1,1765832940.0812466,2025-12-15 21:09:00,SHIP500-B02-T01497,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.386536,False,1
1,1765832940.0812466,2025-12-15 21:09:00,SHIP500-B02-T01497,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.386536,False,1
1,1765832940.0812466,2025-12-15 21:09:00,SHIP500-B02-T01497,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.386536,False,1
1,1765832952.2985864,2025-12-15 21:09:12,SHIP500-B02-T01498,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.390007,False,1
1,1765832952.2985864,2025-12-15 21:09:12,SHIP500-B02-T01498,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.390007,False,1
1,1765832952.2985864,2025-12-15 21:09:12,SHIP500-B02-T01498,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.390007,False,1
1,1765832964.5008996,2025-12-15 21:09:24,SHIP500-B02-T01499,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.383781,False,0
1,1765832976.7238028,2025-12-15 21:09:36,SHIP500-B02-T01500,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.394448,False,1
1,1765832976.7238028,2025-12-15 21:09:36,SHIP500-B02-T01500,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.394448,False,1
1,1765832976.7238028,2025-12-15 21:09:36,SHIP500-B02-T01500,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.394448,False,1
1,1765832989.01341,2025-12-15 21:09:49,SHIP500-B02-T01501,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.395861,False,0
1,1765833001.202794,2025-12-15 21:10:01,SHIP500-B02-T01502,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.391637,False,0
1,1765833013.4087317,2025-12-15 21:10:13,SHIP500-B02-T01503,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.401803,False,1
1,1765833013.4087317,2025-12-15 21:10:13,SHIP500-B02-T01503,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.401803,False,1
1,1765833013.4087317,2025-12-15 21:10:13,SHIP500-B02-T01503,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.401803,False,1
1,1765833025.646569,2025-12-15 21:10:25,SHIP500-B02-T01504,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.405652,False,0
1,1765833037.8308327,2025-12-15 21:10:37,SHIP500-B02-T01505,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.414449,False,1
1,1765833037.8308327,2025-12-15 21:10:37,SHIP500-B02-T01505,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.414449,False,1
1,1765833037.8308327,2025-12-15 21:10:37,SHIP500-B02-T01505,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.414449,False,1
1,1765833050.040969,2025-12-15 21:10:50,SHIP500-B02-T01506,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.408077,False,1
1,1765833050.040969,2025-12-15 21:10:50,SHIP500-B02-T01506,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.408077,False,1
1,1765833050.040969,2025-12-15 21:10:50,SHIP500-B02-T01506,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.408077,False,1
1,1765833062.247849,2025-12-15 21:11:02,SHIP500-B02-T01507,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.411251,False,1
1,1765833062.247849,2025-12-15 21:11:02,SHIP500-B02-T01507,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.411251,False,1
1,1765833062.247849,2025-12-15 21:11:02,SHIP500-B02-T01507,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.411251,False,1
1,1765833074.4782016,2025-12-15 21:11:14,SHIP500-B02-T01508,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.408563,False,1
1,1765833074.4782016,2025-12-15 21:11:14,SHIP500-B02-T01508,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.408563,False,1
