alarm_tag,active_samples,active_rate_pct,category,decision,reason,fault_class,fault_class_name
engine/alarm_pms_ac380v_insulation_low,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_automatic_synchronization_failure,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_auxiliary_room_fan_fault_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_auxiliary_room_fan_fault_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_auxiliary_room_fan_running_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_auxiliary_room_fan_running_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_ballast_total_use_pump_fault_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_ballast_total_use_pump_fault_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_ballast_total_use_pump_running_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_ballast_total_use_pump_running_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_cabin_fan_fault_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_cabin_fan_fault_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_cabin_fan_fault_3,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_cabin_fan_fault_4,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_cabin_fan_running_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_cabin_fan_running_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_cabin_fan_running_3,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_cabin_fan_running_4,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_dg1_acb_abnormal_trip,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_dg1_overload,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_dg1_reverse_power,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_dg1_start_failure,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_dg2_acb_abnormal_trip,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_dg2_overload,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_pms_dg2_reverse_power,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
